         2026 Licensed Montana Septic Pumpers As of May 20, 2026


            County Business
LIC #                            Company
S-1190   Pondera           WHEELER SEPTIC LLC
S-1167   Ravalli           BITTERROOT VALLEY SEPTIC LLC
S-833    Ravalli           BROWN'S SEPTIC SERVICES
S-1169   Ravalli           DJ'S SEPTIC SERVICE
S-456    Ravalli           ECKERTS PATRIOT PUMPERS
S-1191   Ravalli           MONTANA SEPTIC & SEWER LLC
S-1043   Richland          DOORBUST'N PORTABLES & SEPTIC SERVICE, LLC
S-999    Richland          HURLEY ENTERPRISES INC
S-924    Roosevelt         E & A VAC
S-1078   Roosevelt         PUMPERITE
S-821    Roosevelt         SCOTT'S SERVICES
S-1042   Rosebud           D & R DISPOSAL
         County Business
LIC #                      Company
S-1178   Sanders           DIGGING DEEP EXCAVATION
S-1025   Sanders           SORLIE EXCAVATING, INC
S-1159   Sanders           UFFDA LLC
S-1128   Sheridan          NORTH EASTERN SEPTIC SERVICES LLC
S-1069   Silver Bow        BECKMAN CONTRACTING INC
S-1102   Silver Bow        CLR SERVICES INC
S-1214   Silver Bow        HOFFMAN CONTRACTING LLC
S-825    Silver Bow        HOFFMAN'S R & M SERVICES
S-595    Silver Bow        HUNTER BROTHERS CONSTRUCTION, INC
S-1196   Silver Bow        RIGHT NOW RENTALS AND SEPTIC
S-1175   Stillwater        BIG SKY PORTABLES LLC
S-1149   Stillwater        R.L. FRANK SEPTIC SERVICE INC
S-849    Sweet Grass       LAVERELL'S , INC
S-1129   Sweet Grass       SWEET GRASS PORTABLES
S-1058   Valley            B & B PUMPING
S-1040   Valley            BOWKER PUMPING LLC
S-1099   Valley            SCOTTIE EXPRESS WASH
S-788    Valley            T & R TRUCKING, INC.
S-1031   Wheatland         SPRINGWATER'S SEPTIC PUMPING
S-1192   Yellowstone       ANDERSEN SEWER LLC
S-1124   Yellowstone       ARROW SEPTIC AND SEWER SERVICE LLC
S-749    Yellowstone       BILLINGS CONSTRUCTION SUPPLY, INC
S-1062   Yellowstone       BOGY INC
S-1150   Yellowstone       BRENDA FRANK SEPTIC TANK SERVICE
S-1126   Yellowstone       C BAR J MECHANICAL
S-1087   Yellowstone       COTTER'S SEWER INC
S-1212   Yellowstone       KERNOW INC
S-996    Yellowstone       PACE
S-1119   Yellowstone       PORTABLE RESTROOM SERVICE LLC
S-1151   Yellowstone       TLC-PATRIOT SEPTIC AND EXCAVATION LLC
S-1139   Yellowstone       TRU PIPE INC
         County Business
LIC #                      Company
S-1155   Yellowstone       WELLS BUILT HOMES INC

